"","X","SCE_Cab","SCE_Cw","SCE_LAI","SCE_Cm","SCE_Car","ann_neon_Cab","ann_neon_Car","ann_neon_Cw","ann_neon_Cm","ann_neon_LAI","B02","B03","B04","B05","B06","B07","B8A","B11","B12","ARVI","BIOM","CHM","EVI","fPAR","LAI","MSI","NDII","NDLI","NDNI","NDVI","NDWI","NDMI","PRI","SAVI","WBI","coords.x1","coords.x2","ESA_LAI","LAI_flag","ESA_LAI_cab","ESA_LAI_cab_flag","ESA_LAI_car","ESA_LAI_car_flag","ESA_fapar","ESA_fapar_flag","ESA_fcover","ESA_fcover_flag","ann2_Cab","ann2_Car","ann2_Cw","ann2_Cm","ann2_LAI"
"17",23,25.9589831895049,0.0299986259906023,0.633566944240241,0.0100009627477326,49.9991577830349,-6.0902697353729,21.4562197294514,0.00363924989617757,0.00700231641974422,1.83127460497131,0.0462,0.0813,0.0701,0.1431,0.2571,0.2862,0.3224,0.2781,0.171,0.5450199842453,19.6411724090576,0,0.441682577133179,0.359897494316101,1.18609166145325,0.873123347759247,0.0249786209315062,0.0408743545413017,0.144390016794205,0.669503927230835,-0.0813827738165855,0.434297621250153,-0.0746229887008667,0.436708062887192,0.98912125825882,628750,3692050,0.886924684047699,0,43.8654747009277,0,0.0176092013716698,0,0.428490579128265,0,0.416907370090485,0,12.3093399088752,-0.304099198716958,0.035282786278751,-0.0207211514231551,2.05308759621874
"18",24,26.6842610616275,0.0299999997131774,0.884275795873472,0.0299999997515245,48.9555246930569,-1.5568427023476,19.3642457129744,0.00827727109892763,0.00702491587136417,2.28576055998826,0.0505,0.0904,0.073,0.1544,0.2865,0.3148,0.3409,0.256,0.144,0.539651155471802,19.4693508148193,0,0.453969091176987,0.367334991693497,1.22570967674255,0.740894973278046,0.0971010774374008,0.0487277284264565,0.15836375951767,0.664024233818054,-0.047958854585886,0.427939116954803,-0.0689072981476784,0.445528090000153,1.01732754707336,628770,3691590,0.979513585567474,0,43.9317855834961,0,0.0225053112953901,0,0.473964303731918,0,0.485046476125717,0,12.6709040378944,2.91611256744607,0.0240546752577366,-0.0109564970255728,2.31410337482257
"19",25,26.4797521562847,0.029999930979394,0.843369417568628,0.0100000035433347,11.5098593325671,-0.923096365364302,20.640285396118,0.0102201995476503,0.00674406122994876,2.37439944448211,0.0461,0.0852,0.0673,0.1507,0.2907,0.3227,0.3513,0.2556,0.1455,0.574121057987213,20.3197994232178,0,0.471401244401932,0.385419994592667,1.3040806055069,0.730781078338623,0.10482357442379,0.048074908554554,0.1573286652565,0.692926704883575,-0.0434150397777557,0.437456905841827,-0.0687941685318947,0.46263912320137,1.01747918128967,628770,3691650,1.06925141811371,0,49.2692031860352,0,0.0235702190548182,0,0.500305533409119,0,0.510837376117706,0,12.5671558981777,3.37776994177896,0.0302671161289317,-0.0147048449940083,2.30274766867231
"20",26,32.9488010650885,0.0299865291609904,0.911434357264168,0.0100000036762984,49.9949953755462,2.35839593238223,21.8357332957233,0.0110214348438476,0.00677306584770117,2.4567127757625,0.0359,0.0717,0.0514,0.1286,0.2849,0.3217,0.3492,0.2428,0.1329,0.694355010986328,22.9819717407227,0,0.546582579612732,0.456747502088547,1.63862788677216,0.63145524263382,0.172702521085739,0.0503691360354424,0.16656593978405,0.783341348171234,-0.0197268947958946,0.471693903207779,-0.0695886015892029,0.526706278324127,1.03029191493988,628990,3691970,1.33284628391266,0,64.2941360473633,0,0.0261886976659298,0,0.548424124717712,0,0.559708297252655,0,16.5847089466205,2.75758200337426,0.0270905012499385,-0.0118688858752121,2.31877440931468
"21",27,33.0371988881157,0.029999966950221,0.71639839327833,0.0299999306132082,13.5743822442316,-5.06623012287707,18.7570123240532,-0.00109624190841846,0.00795590123926136,1.72992046657122,0.0504,0.0862,0.0733,0.1409,0.2631,0.296,0.3247,0.2837,0.1647,0.521973192691803,19.0423831939697,0,0.425044417381287,0.345767498016357,1.11917233467102,0.94856458902359,-0.020784892141819,0.0439019836485386,0.151531398296356,0.648804426193237,-0.0986072048544884,0.355868577957153,-0.0701933652162552,0.420322895050049,0.98300963640213,628370,3693750,0.888723731040955,0,45.0262565612793,0,0.0171288624405861,0,0.434668064117432,0,0.429000616073608,0,17.0972617288264,-4.40982215640315,0.00939520491139592,-0.00457422915265531,2.17150740866
"22",29,36.2059923800442,0.0299999977093423,0.932701710794928,0.0299999837155273,23.6963566049817,-0.542648410458913,17.3034554676884,0.00967416396377167,0.00700362416287466,2.42314466941148,0.0507,0.0912,0.0718,0.1565,0.3301,0.3677,0.4015,0.287,0.164,0.610125243663788,21.0718231201172,0,0.519460320472717,0.429692506790161,1.49696958065033,0.739194631576538,0.102934099733829,0.0491783283650875,0.164819121360779,0.718472063541412,-0.033242505043745,0.440461397171021,-0.0737378597259521,0.500537157058716,1.01410210132599,628350,3691770,1.14240825176239,0,56.8525924682617,0,0.0207855384796858,0,0.54573667049408,0,0.563433408737183,0,15.4885074302836,2.07021624598998,0.0269056585947095,-0.0128543946618122,2.39261009579577
"23",31,28.0035633666616,0.0299995050640887,0.901485434568329,0.0299836416779327,49.9999888768061,-1.13471526209443,17.9894419868206,0.0098291488598414,0.00680442251296604,2.3462286066143,0.048,0.0908,0.0708,0.1527,0.2919,0.3222,0.348,0.2566,0.1466,0.549747049808502,19.7050933837891,0,0.461440861225128,0.374000012874603,1.25454926490784,0.742945551872253,0.0965118631720543,0.0486440397799015,0.159214437007904,0.672038614749908,-0.0468017309904099,0.428475320339203,-0.0682136118412018,0.452075928449631,1.01615905761719,628770,3691610,1.01864230632782,0,46.503246307373,0,0.0229748655110598,0,0.488697856664658,0,0.500501036643982,0,12.4206707806087,2.50310293826951,0.0284220837142544,-0.0138713637429524,2.28451986445293
"24",32,34.2031074394722,0.0299999968197327,0.999603476330859,0.0100000053321339,13.4207298525492,3.49738316714215,18.2326597283506,0.0136755126716753,0.00643493220395897,2.54637638145955,0.0362,0.0724,0.0464,0.1238,0.2812,0.3228,0.3493,0.2263,0.1213,0.695428133010864,22.9414825439453,0,0.526536047458649,0.437702506780624,1.53868222236633,0.645489037036896,0.160724654793739,0.051176056265831,0.16484634578228,0.78069680929184,-0.0174577571451664,0.46047654747963,-0.0620909966528416,0.508498072624207,1.03934967517853,627090,3694910,1.48417556285858,0,69.5121459960938,0,0.0305389072746038,0,0.575192928314209,0,0.589487433433533,0,14.71203807637,4.00696198859815,0.0307824894737976,-0.0132819750091046,2.26423504816887
"25",34,31.342757708871,0.0299999989546937,0.702795262843094,0.0299999999698688,13.1885582876398,-6.66626297432882,19.097810261233,-0.00178029656840425,0.0079961973657215,1.51715089652173,0.0541,0.0916,0.0795,0.1569,0.2835,0.3171,0.3444,0.3055,0.1799,0.516995787620544,18.8946571350098,0,0.456876397132874,0.37007999420166,1.2247269153595,0.866064250469208,0.0255790781229734,0.0433699525892735,0.156213715672493,0.643444776535034,-0.0731496140360832,0.392426192760468,-0.0733647793531418,0.444503575563431,0.988132476806641,628650,3694110,0.804266333580017,0,40.8547744750977,0,0.0147091550752521,0,0.427636951208115,0,0.42587274312973,0,15.7415569908492,-3.26748986474465,0.00852068314280111,-0.0026770013769438,2.14971057636193
"26",36,22.0329999885619,0.0299933851459003,0.651736751915183,0.010000096000263,49.9999834198346,-5.94320261402687,22.6097350847512,0.0012592005045886,0.00747622579382219,1.80080596055444,0.0482,0.0884,0.076,0.159,0.2748,0.3002,0.3303,0.2859,0.1734,0.505252361297607,18.8128833770752,0,0.443438708782196,0.360594987869263,1.19236421585083,0.826824009418488,0.049092561006546,0.0431079231202602,0.155918285250664,0.640672743320465,-0.0763057097792625,0.419244945049286,-0.0845716744661331,0.438102006912231,0.980235755443573,628550,3694130,0.800481855869293,1,37.6613845825195,1,0.0163021348416805,1,0.415011167526245,1,0.414024174213409,0,10.0869610279921,0.255268635220396,0.0238142845482758,-0.013731937930597,2.10431925668193
"27",37,36.8681004478649,0.0299999998698968,0.924514024363344,0.029999857777798,49.9986336454485,0.876725538568518,23.2504953898228,0.00991256741396373,0.00678459815444812,2.36305144461506,0.0387,0.0719,0.0571,0.132,0.2772,0.3112,0.3361,0.2457,0.1379,0.635830104351044,21.6716346740723,0,0.477398872375488,0.395522505044937,1.33678472042084,0.720833957195282,0.111251994967461,0.0461716167628765,0.157807692885399,0.7388516664505,-0.0504192337393761,0.432282030582428,-0.0756252259016037,0.469185501337051,1.00402009487152,629170,3691270,1.19389140605927,0,57.827709197998,0,0.024588642641902,0,0.515578508377075,0,0.516239702701569,0,17.3832373707648,1.85796527200732,0.027630586497889,-0.0128310566891714,2.28015950389684
"28",38,35.4420154406099,0.0299999991292007,1.02460973194118,0.0299999877585856,49.9999872100951,1.12907473005809,22.9379584603256,0.0118179440820682,0.00672836929064635,2.5443197088979,0.0424,0.0815,0.0628,0.1499,0.3171,0.3565,0.3866,0.2581,0.1427,0.646487891674042,21.9997730255127,0,0.53342217206955,0.446157485246658,1.57950460910797,0.659680545330048,0.155884221196175,0.0501785390079021,0.165840059518814,0.748365163803101,-0.0258044265210629,0.464065968990326,-0.0793829932808876,0.514912903308868,1.01671838760376,627970,3695030,1.27239692211151,0,60.8903694152832,0,0.0260004960000515,0,0.56325489282608,0,0.583186149597168,0,14.2416080004456,3.90530125465702,0.0290694671302932,-0.0132907979889721,2.39885707652199
"29",40,23.5760341315591,0.0299978705311903,0.544834445037438,0.0100002812610937,49.9999769659702,-9.51685019888266,23.5165843411778,0.00242739877733737,0.00649281876623376,1.50220760281241,0.0454,0.0783,0.0727,0.1391,0.2372,0.2615,0.2882,0.2755,0.1791,0.572373807430267,20.3839740753174,0,0.403183668851852,0.332102507352829,1.06955862045288,0.810975134372711,0.0608665980398655,0.0412447340786457,0.144090384244919,0.693615198135376,-0.0680777132511139,0.429795175790787,-0.084100104868412,0.407254487276077,0.998907327651978,632150,3695750,0.761979043483734,0,37.8989372253418,0,0.0157182514667511,0,0.3712258040905,0,0.34713026881218,0,11.9482389249112,-5.61163930927278,0.0364976558860859,-0.025367672891486,1.66412438520046
"30",42,38.8165215575177,0.0299978300912096,0.956334809656412,0.010000023363154,7.37300494684341,4.58969072408033,12.4277572051949,0.0108447312557151,0.00700045521956649,2.48834425550903,0.0435,0.0772,0.0554,0.1228,0.304,0.3492,0.375,0.2534,0.1362,0.668717801570892,22.0498466491699,0,0.541583001613617,0.443035006523132,1.54614925384521,0.696796655654907,0.125728517770767,0.0541134439408779,0.170163288712502,0.750068664550781,-0.030298076570034,0.434516072273254,-0.0547294393181801,0.51021683216095,1.03376019001007,627030,3695190,1.43789196014404,0,76.3480987548828,0,0.0262245908379555,0,0.58418595790863,0,0.597794592380524,0,21.3429307179081,1.38106360825425,0.0224096990542311,-0.00914949463696047,2.41556760074415
"31",43,36.2032337206521,0.0299999999933722,0.857806964554799,0.0299999963310406,49.9997722724147,-0.479162587372414,21.3429770515711,0.00736748481509039,0.00707256637654057,2.21450695443343,0.0392,0.0743,0.0579,0.1295,0.2621,0.2973,0.3268,0.2503,0.1403,0.634873509407043,21.7697868347168,0,0.471022844314575,0.391645014286041,1.32443714141846,0.70932275056839,0.11384155601263,0.0464265681803226,0.158760547637939,0.742181956768036,-0.0425380021333694,0.426481425762177,-0.0725727528333664,0.466659337282181,1.01881432533264,628890,3691870,1.1547018289566,1,55.3774490356445,1,0.0232439432293177,1,0.498203754425049,1,0.496689528226852,0,15.6733154731262,1.87151595300343,0.02489859337492,-0.0112654229885564,2.27052768523518
"32",47,32.0991939177635,0.0299999999640541,0.75305261233622,0.0299984119123066,49.9999525098158,-3.60430371139385,19.0828181550806,0.00310429349797123,0.00737904708160097,1.92009136119681,0.0459,0.0817,0.0655,0.1395,0.2671,0.2963,0.3209,0.2717,0.1614,0.537461400032043,19.3377933502197,0,0.436100900173187,0.351957499980927,1.15238606929779,0.866365909576416,0.0224509723484516,0.0445259064435959,0.155416458845139,0.658474862575531,-0.0701816156506538,0.394474029541016,-0.0692087560892105,0.428288578987122,1.00259506702423,626950,3694850,0.936959981918335,0,45.8793144226074,0,0.018213914707303,0,0.447369635105133,0,0.442864030599594,0,15.7615769832405,-3.38274003876463,0.0195914747919649,-0.0108702705316105,2.11115071975024
"33",49,33.0210004639575,0.0299999761515858,0.676652584159769,0.0299989233125824,14.2675717744329,-6.68232640143101,18.688926353974,-0.00266442008853773,0.00804857612338759,1.29276408428798,0.0518,0.0837,0.0734,0.1414,0.261,0.2897,0.319,0.2928,0.1687,0.512750744819641,18.8567752838135,0,0.407640635967255,0.331225007772446,1.06029295921326,0.954993844032288,-0.0231461953371763,0.0408365502953529,0.145032078027725,0.642507016658783,-0.1018111333251,0.352557241916656,-0.0762166604399681,0.406041592359543,0.974794745445251,628790,3693970,0.839844048023224,0,42.7259140014648,0,0.0152299189940095,0,0.414705276489258,0,0.409028947353363,0,19.7792715705665,-2.01871398667662,0.00827900987458893,0.000498497753657231,2.11219770061197
"34",51,36.5596183208794,0.0299999996394686,1.03702568981439,0.029999211543201,49.9999861202708,2.04956236271643,22.915783687051,0.0135798709383553,0.00643248204441146,2.58555635715362,0.0401,0.0759,0.0581,0.1392,0.3048,0.3354,0.3699,0.2436,0.1344,0.6478351354599,21.8791275024414,0,0.519278764724731,0.430184990167618,1.49834513664246,0.663930118083954,0.150811702013016,0.0479869805276394,0.162578105926514,0.745900213718414,-0.028372760862112,0.461774110794067,-0.0689303949475288,0.501347541809082,1.01436185836792,629110,3691210,1.32523202896118,0,62.6798629760742,0,0.0277751907706261,0,0.559893131256104,0,0.576597273349762,0,17.0989968801199,3.1201153166883,0.0330348007059937,-0.0156919422537001,2.32111685431114
"35",52,34.0807269414447,0.0299999998879514,1.00542977288782,0.0100001388301739,9.18894109823818,2.89449750260868,18.0579057413019,0.0116217004109347,0.00690818771696041,2.56429032818592,0.0444,0.0813,0.0631,0.1375,0.3221,0.3647,0.3909,0.2538,0.1351,0.659821927547455,22.3014183044434,0,0.540419280529022,0.456582486629486,1.61448895931244,0.643566846847534,0.164525270462036,0.0508654713630676,0.161213278770447,0.759002149105072,-0.0148447640240192,0.462811291217804,-0.0701726526021957,0.521516561508179,1.03397953510284,628790,3694530,1.39074683189392,0,70.9413070678711,0,0.0278322417289019,0,0.587995946407318,0,0.607652604579926,0,19.7814037853778,2.56137267887136,0.0230823855392897,-0.00926818199385718,2.45648658620652
"36",53,25.7980962026308,0.0299999954681431,0.68566351693982,0.0299999975162352,49.9999294585083,-7.38064804275794,20.9226466757764,-0.00160766201048265,0.00788805857882391,1.42406894175631,0.0565,0.0931,0.09,0.1661,0.2834,0.3143,0.3443,0.3069,0.1829,0.494949996471405,18.6732177734375,0,0.426384568214417,0.35122749209404,1.14494967460632,0.863801538944244,0.029738649725914,0.0456195063889027,0.152277231216431,0.635592460632324,-0.0817598700523376,0.401280045509338,-0.0837801918387413,0.425758510828018,0.98805558681488,631270,3695950,0.732709348201752,0,36.7474517822266,0,0.0147316036745906,0,0.403936326503754,0,0.396564066410065,0,14.1327750600318,-2.27118179437165,0.0102255945256189,-0.00555861303409196,2.17137110895368
