"","Model","Trait","nsamples","variable","mean","sd"
"44","mRF","Car",3000,"MAE",2.44886595729802,0.186210231954648
"45","mRF","Car",3000,"MAPE",0.0945446615206085,0.00721056877582196
"46","mRF","Car",3000,"SMAPE",0.0934337274822909,0.00695544010630766
"47","mRF","Car",3000,"MSE",9.51311775019821,1.3230881756299
"48","mRF","Car",3000,"RMSE",3.07778471761727,0.224607942312252
"49","mRF","Cm",500,"Slpe",0.55976791213374,0.0365229194313484
"50","mRF","Cm",500,"Inte",0.00750072997754809,0.000620263886051602
"51","mRF","Cm",500,"Rsqr",0.758556821399782,0.0370681629483786
"52","mRF","Cm",500,"MAE",0.00183526225739452,0.000122127241114835
"53","mRF","Cm",500,"MAPE",0.114774011092686,0.00680750695016393
"54","mRF","Cm",500,"SMAPE",0.112416970228168,0.00670304314516103
"55","mRF","Cm",500,"MSE",5.13400912517479e-06,7.05609084516278e-07
"56","mRF","Cm",500,"RMSE",0.0022615580847623,0.000155580181984496
"57","mRF","Cm",1500,"Slpe",0.629782917051254,0.0245819106488031
"58","mRF","Cm",1500,"Inte",0.0062273391500739,0.000375432488812307
"59","mRF","Cm",1500,"Rsqr",0.779555005248125,0.020121684062681
"60","mRF","Cm",1500,"MAE",0.00194637753478602,0.000115187891964206
"61","mRF","Cm",1500,"MAPE",0.124785932669891,0.0058122132659211
"62","mRF","Cm",1500,"SMAPE",0.122830697260824,0.00560192584332017
"63","mRF","Cm",1500,"MSE",5.82864552815544e-06,5.5599291598482e-07
"64","mRF","Cm",1500,"RMSE",0.00241211017260414,0.000113853213476016
"65","mRF","Cm",3000,"Slpe",0.704175662533634,0.0162858529763174
"66","mRF","Cm",3000,"Inte",0.0049636931218301,0.000395024707978834
"67","mRF","Cm",3000,"Rsqr",0.822036353730194,0.0158919314202107
"68","mRF","Cm",3000,"MAE",0.00187623811328263,7.58181593081825e-05
"69","mRF","Cm",3000,"MAPE",0.12171768403206,0.00677795914095065
"70","mRF","Cm",3000,"SMAPE",0.119552075269621,0.00639522958469671
"71","mRF","Cm",3000,"MSE",5.56904975896525e-06,3.55351063732033e-07
"72","mRF","Cm",3000,"RMSE",0.00235891256009155,7.56744078899084e-05
"73","mRF","Cw",500,"Slpe",0.430139503528463,0.0157681190302497
"74","mRF","Cw",500,"Inte",0.00986974563948771,0.000378776455848
"75","mRF","Cw",500,"Rsqr",0.640559773211512,0.0324213597538422
"76","mRF","Cw",500,"MAE",0.0019041329376252,0.000127864234958558
"77","mRF","Cw",500,"MAPE",0.115923614021579,0.00603366977123833
"78","mRF","Cw",500,"SMAPE",0.112911076050703,0.00532231427606331
"79","mRF","Cw",500,"MSE",5.41151513414908e-06,6.42829670909712e-07
"80","mRF","Cw",500,"RMSE",0.00232278944543356,0.000142145727738888
"81","mRF","Cw",1500,"Slpe",0.413035956627924,0.0170917854574028
"82","mRF","Cw",1500,"Inte",0.0102085681327018,0.000294658343993487
"83","mRF","Cw",1500,"Rsqr",0.684947414348346,0.0195089185500819
"84","mRF","Cw",1500,"MAE",0.00165840379536598,7.9668636060238e-05
"85","mRF","Cw",1500,"MAPE",0.0999050759758221,0.00442557836343543
"86","mRF","Cw",1500,"SMAPE",0.0979158127947788,0.00399527198019853
