"","RunNr","mRF_Grid","mRF_LHS"
"55",55,0.112867249759284,0.0320667781951394
"56",56,0.0452024833727762,0.0272826614614828
"57",57,0.0827246797014739,0.0289074475631498
"58",58,0.038523435915718,0.0132876706507761
"59",59,0.0255746941563818,0.00975786955252364
"60",60,0.121491821651439,0.0346170963012023
"61",61,0.0673860144659739,0.00977059383411539
"62",62,0.0694570464427347,0.0171179910422927
"63",63,0.0481168247398418,0.0244364250609723
"64",64,0.0959904736489454,0.0200371792237087
"65",65,0.0160009720628133,0.0238593347703053
"66",66,0.0776502605102679,0.0137025251379321
"67",67,0.13147303628178,0.0172303320359033
"68",68,0.0465063700708267,0.0192511185263176
"69",69,0.0163495547333073,0.015196224220773
"70",70,0.0885046723546561,0.0225968358433914
"71",71,0.0164153142004542,0.0149984680863742
"72",72,0.125979137029185,0.0191973343987185
"73",73,0.0216376684185144,0.0136107648254308
"74",74,0.445541539192558,0.0357390210149716
"75",75,0.111376307696877,0.0129069087283022
"76",76,0.16406008279147,0.0362621552507033
"77",77,0.0352269138889334,0.0123023500518539
"78",78,0.154435775715387,0.0137644041174036
"79",79,0.45579851348516,0.0344152212624181
"80",80,0.0717529943174059,0.0123008958952728
"81",81,0.0248775954619786,0.0137667599175762
"82",82,0.0338714089561178,0.0244027322213861
"83",83,0.0549540360547787,0.018206930802211
"84",84,0.0466500424551667,0.0231667550612092
"85",85,0.0469333696928421,0.016701639952288
"86",86,0.0404391466307108,0.00995915701464296
"87",87,0.0253590046099993,0.0132161766451379
"88",88,0.433108965461367,0.0334705363719887
"89",89,0.0335584413067621,0.0143555599835432
"90",90,0.0451064679163911,0.0140884948945389
"91",91,0.032859192503731,0.0124583583777759
"92",92,0.114688817711514,0.0341922720197855
"93",93,0.0520837185906692,0.0216699481569299
"94",94,0.0621127104817288,0.0120466943555186
"95",95,0.0683395384797109,0.00741077258701432
"96",96,0.162793463396187,0.0696853818864231
"97",97,0.0729598605337643,0.00843577518425199
"98",98,0.0457417020442652,0.00937788288351639
"99",99,0.160477286140697,0.0366813867925285
"100",100,0.0620328563964107,0.0153824712117451
"101",101,0.154684323623447,0.0150983537242044
"102",102,0.172417630777943,0.0610998821851136
"103",103,0.0156212519137011,0.016950675323669
"104",104,0.0561873921598823,0.0212776051566118
"105",105,0.0889649612587007,0.0218962739068345
"106",106,0.102032685721368,0.0327343698108819
"107",107,0.30436757175582,0.0230245225877846
"108",108,0.0308286986330825,0.00418904718393843
"109",109,0.226487767813629,0.0399883191374284
"110",110,0.284856721697982,0.0206085421732131
"111",111,0.165017220682021,0.0422058289191805
"112",112,0.434692304628409,0.0537055182622779
"113",113,0.011385703414965,0.00957762248163693
"114",114,0.1083706777896,0.0183137539371179
"115",115,0.0711405471908796,0.0141784369850388
"116",116,0.133511134179801,0.0373940169443875
"117",117,0.0626398183748643,0.0118289274652601
"118",118,0.0484720163073483,0.0264611435254092
"119",119,0.10310121770669,0.0124379678830731
"120",120,0.215856312972236,0.0264676067805221
"121",121,0.0278967538645816,0.00749727499755097
"122",122,0.0334473446473525,0.0276164940186551
"123",123,0.0582865382465575,0.0107523740232578
"124",124,0.217014086276965,0.0428833272595674
"125",125,0.0586614414837864,0.0115674011278428
"126",126,0.121664047875694,0.0209926028518721
"127",127,0.046196947355546,0.0135841917181084
"128",128,0.0685028916430039,0.0205110296026881
"129",129,0.0195587491958319,0.0164201970645562
"130",130,0.190826782386471,0.0308899486499349
"131",131,0.0287753377425591,0.0187888045187955
"132",132,0.126351132898779,0.0295500593904992
"133",133,0.105396121614152,0.0309904069238015
"134",134,0.0526229164601487,0.0196868405848424
"135",135,0.0322586378978896,0.0324537019235423
"136",136,0.0408891112473839,0.0206289040586804
"137",137,0.134658851311699,0.0325156291866273
"138",138,0.083615242969515,0.0210453088555804
"139",139,0.564146661842705,0.108120193150695
"140",140,0.171349027896487,0.021775045858414
"141",141,0.0434505104783475,0.0077678131693949
"142",142,0.306913411251264,0.0957796010369106
"143",143,0.197803496016136,0.041160035816915
"144",144,0.255036110388176,0.049884194622856
"145",145,0.0668302658440534,0.0108415026638366
"146",146,0.0454401738477879,0.0115403445226332
"147",147,0.110727130608502,0.0132772862538533
"148",148,0.0466665903808514,0.00961544956246945
"149",149,0.0942166685548123,0.016524683415336
"150",150,0.0954689770974159,0.0165837764085078
"151",151,0.011081952283077,0.0117491075399466
"152",152,0.191451407710054,0.0477358668373517
"153",153,0.0195738401048026,0.0178198430908546
"154",154,0.0328789269166478,0.0207640855080206
"155",155,0.0915864768760073,0.0369678434160759
"156",156,0.0979442994006378,0.0207586461421258
"157",157,0.0418338875873223,0.015286388169541
"158",158,0.0959089274363688,0.0165863257318961
"159",159,0.011201681651308,0.0108003029262942
"160",160,0.155517160592008,0.035499137542148
"161",161,0.328114424275236,0.0232542298018429
"162",162,0.0115266901489325,0.00527240982068235
"163",163,0.0315348442292447,0.00850415514121199
"164",164,0.192338275121617,0.0374634444448893
"165",165,0.0789383021774784,0.0178156415022578
"166",166,0.0394133784866898,0.0197354234660374
"167",167,0.055232104929668,0.0110730156283391
"168",168,0.0113582096510214,0.0072080333147064
"169",169,0.35920599745743,0.0588907641712463
"170",170,0.0625420346858492,0.018741309031934
"171",171,0.0998568296434849,0.0194137794634411
"172",172,0.0667856733650425,0.0115764247551376
"173",173,0.563400394157115,0.0704546568090305
"174",174,0.472600326288654,0.0316458936848535
"175",175,0.0207899827395825,0.0056440550586858
"176",176,0.0245044839175924,0.00998560475454741
"177",177,0.0870952704143339,0.0191456823258132
"178",178,0.0230761502774446,0.0305339896876551
