The following table was created as response to the SQL query
SELECT sbs_sbsnumber "SBS number", sbs_sbsname "SBS name", pgf_name "plant growth form", pgf_genname "gen. plant growth form", pgf_valid "record validity", ref_refname "reference", or_origrefname "original reference" FROM (SELECT r_pgf.pgf_name, sbs.sbs_sbsnumber, sbs.sbs_sbsname, r_pgf.pgf_genname, r_pgf.pgf_valid, r_pgf.ref_refname, r_pgf.or_origrefname, r_pgf.pgf_sbsnumber FROM (SELECT speciesno AS sbs_sbsnumber, fullname AS sbs_sbsname FROM (SELECT fullname, speciesno, familyname, isinledalist from (select fullname, speciesno, family as familyid, isinledalist from taxon where specieslist = 60028) natural join taxonomicfamily)) sbs JOIN (SELECT pgf_orf.pgf_sbsnumber, pgf_orf.pgf_name, pgf_orf.pgf_genname, pgf_orf.pgf_valid, r.ref_refname, pgf_orf.or_origrefname FROM (SELECT referenceid AS ref_referenceid, refname AS ref_refname FROM (select referenceid, refname, reftypeid from reference)) r LEFT JOIN (SELECT pgf.pgf_sbsnumber, pgf.pgf_name, pgf.pgf_genname, pgf.pgf_valid, pgf.pgf_referenceid, orf.or_origrefname FROM (SELECT sbsnumber AS pgf_sbsnumber, plantgrowthformname AS pgf_name, genplantgrowthformname AS pgf_genname, valid AS pgf_valid, referenceid AS pgf_referenceid, originalreference AS pgf_origreferenceid FROM (SELECT plantgrowthformid, created_when, updated_when, updatedwho, valid, validsince, validuntil, sbsnumber, taxonid, referenceid, originalreference, batchid, p_comment, plantgrowthformtypeid, genplantgrowthformtypeid, plantgrowthformname, genplantgrowthformname
FROM
	(SELECT plantgrowthformid, created_when, updated_when, updatedwho, valid, validsince, validuntil, taxonid, referenceid, originalreference, batchid, p_comment, a.plantgrowthformtypeid, a.plantgrowthformtypename AS plantgrowthformname, b.plantgrowthformtypename AS genplantgrowthformname, b.plantgrowthformtypeid AS genplantgrowthformtypeid
	FROM
		(SELECT * FROM PLANTGROWTHFORM NATURAL join PLANTGROWTHFORMTYPE_LV) a
		join
		PLANTGROWTHFORMTYPE_LV b
		ON a.plantgrowthformtypeid - MOD(a.plantgrowthformtypeid,100) = b.plantgrowthformtypeid
	)
	NATURAL join
	TAXONTOSBSASSIGNMENT WHERE valid IN (-2, 1))) pgf FULL JOIN (SELECT origreferenceid AS or_origrefid, origrefname AS or_origrefname FROM (select referenceid as origreferenceid, refname as origrefname, reftypeid as origreftypeid from reference)) orf ON pgf.pgf_origreferenceid = orf.or_origrefid) pgf_orf ON r.ref_referenceid = pgf_orf.pgf_referenceid) r_pgf ON sbs.sbs_sbsnumber = r_pgf.pgf_sbsnumber)
on Mon Apr 26 11:04:46 CEST 2010 .

SBS number;SBS name;plant growth form;gen. plant growth form;record validity;reference;original reference
11179;Senecio vernalis;Therophyte;Therophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
11072;Rudbeckia hirta;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
11072;Rudbeckia hirta;Therophyte;Therophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
21564;Tetragonolobus maritimus;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
21547;Trifolium montanum;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
21509;Ononis arvensis;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
21509;Ononis arvensis;Chamaephyte;Chamaephyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
21486;Oxytropis campestris;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
21479;Oxytropis pilosa;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
21474;Oxytropis jacquinii;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
21448;Lotus uliginosus;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
22096;Trifolium pratense;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
22088;Trifolium ochroleucon;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
22050;Trifolium thalii;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
22005;Trifolium fragiferum;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
21993;Trifolium badium;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
21992;Trifolium aureum;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
21992;Trifolium aureum;Therophyte;Therophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
21975;Medicago sativa;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
21958;Ononis spinosa;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
21958;Ononis spinosa;Chamaephyte;Chamaephyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
21956;Ononis natrix;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
21956;Ononis natrix;Chamaephyte;Chamaephyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
21940;Onobrychis montana;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
21926;Lathyrus japonicus subsp. maritimus;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
21926;Lathyrus japonicus subsp. maritimus;Liana;Liana;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
21923;Lathyrus hirsutus;Liana;Liana;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
21923;Lathyrus hirsutus;Therophyte;Therophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
21911;Medicago minima;Therophyte;Therophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
17069;Moehringia ciliata;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
17060;Minuartia verna;Chamaephyte;Chamaephyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
17043;Minuartia setacea;Chamaephyte;Chamaephyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
17033;Sagina maritima;Therophyte;Therophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
17028;Sagina apetala;Therophyte;Therophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
17010;Holosteum umbellatum;Therophyte;Therophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
17001;Herniaria hirsuta;Chamaephyte;Chamaephyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
17001;Herniaria hirsuta;Therophyte;Therophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
16936;Gypsophila fastigiata;Chamaephyte;Chamaephyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
16914;Dianthus seguieri;Chamaephyte;Chamaephyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
16895;Cerastium alpinum;Chamaephyte;Chamaephyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
16880;Dianthus carthusianorum;Chamaephyte;Chamaephyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
16833;Arenaria serpyllifolia;Chamaephyte;Chamaephyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
16833;Arenaria serpyllifolia;Therophyte;Therophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
16798;Cerastium fontanum;Chamaephyte;Chamaephyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
16786;Cerastium brachypetalum;Therophyte;Therophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
16782;Cerastium arvense;Chamaephyte;Chamaephyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
16770;Hieracium maculatum;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
16761;Stellaria nemorum;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
26588;Ranunculus trichophyllus;Hydrophyte;Cryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
26571;Thalictrum lucidum;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
26562;Thalictrum simplex;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
26547;Thalictrum minus;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
26540;Epilobium lanceolatum;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
26536;Epilobium hirsutum;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
26533;Epilobium fleischeri;Chamaephyte;Chamaephyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
26526;Epilobium dodonaei;Chamaephyte;Chamaephyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
26520;Epilobium collinum;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
26508;Epilobium roseum;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
26505;Epilobium parviflorum;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
26505;Epilobium parviflorum;Chamaephyte;Chamaephyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
26504;Epilobium palustre;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
26502;Epilobium obscurum;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
26502;Epilobium obscurum;Chamaephyte;Chamaephyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
26501;Epilobium nutans;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
26496;Epilobium montanum;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
26496;Epilobium montanum;Chamaephyte;Chamaephyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
26491;Oenothera ammophila;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
26480;Ludwigia palustris;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
26480;Ludwigia palustris;Therophyte;Therophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
26442;Oenothera biennis;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
14059;Kernera saxatilis;Chamaephyte;Chamaephyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
14025;Iberis amara;Therophyte;Therophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
14011;Hirschfeldia incana;Therophyte;Therophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
14004;Hesperis matronalis;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
11725;Betula pubescens;Phanerophyte;Phanerophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
11720;Betula pendula;Phanerophyte;Phanerophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
11715;Betula nana;Chamaephyte;Chamaephyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
11714;Betula humilis;Phanerophyte;Phanerophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
11702;Alnus viridis;Phanerophyte;Phanerophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
11695;Alnus incana;Phanerophyte;Phanerophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
11694;Alnus glutinosa;Phanerophyte;Phanerophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
11672;Berberis vulgaris;Phanerophyte;Phanerophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
11636;Scorzonera parviflora;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
11627;Petasites paradoxus;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
11627;Petasites paradoxus;Geophyte;Cryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
11511;Omalotheca norvegica;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
11510;Mycelis muralis;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
11506;Logfia arvensis;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
11506;Logfia arvensis;Therophyte;Therophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
21886;Lotus corniculatus;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
21876;Onobrychis arenaria;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
21874;Onobrychis viciifolia;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
21868;Hippocrepis comosa;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
21868;Hippocrepis comosa;Chamaephyte;Chamaephyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
21816;Lathyrus palustris;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
21816;Lathyrus palustris;Liana;Liana;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
21815;Lathyrus niger;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
21815;Lathyrus niger;Geophyte;Cryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
27756;Plantago media;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
27743;Polygonum bistorta;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
27743;Polygonum bistorta;Geophyte;Cryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
27740;Polygonum aviculare;Therophyte;Therophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
27725;Polygonum amphibium;Geophyte;Cryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
27725;Polygonum amphibium;Hydrophyte;Cryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
27715;Oxyria digyna;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
27680;Polygonum rurivagum;Therophyte;Therophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
27673;Polygonum persicaria;Therophyte;Therophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
27654;Polygonum mite;Therophyte;Therophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
27653;Polygonum minus;Therophyte;Therophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
27636;Polygonum hydropiper;Therophyte;Therophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
27623;Rumex conglomeratus;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
27607;Rumex aquaticus;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
10537;Omalotheca supina;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
10537;Omalotheca supina;Chamaephyte;Chamaephyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
10536;Omalotheca hoppeana;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
10476;Petasites hybridus;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
10476;Petasites hybridus;Geophyte;Cryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
13679;Erysimum crepidifolium;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
13658;Draba sauteri;Chamaephyte;Chamaephyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
13651;Draba fladnizensis;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
13651;Draba fladnizensis;Chamaephyte;Chamaephyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
13634;Diplotaxis muralis;Therophyte;Therophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
13624;Conringia orientalis;Therophyte;Therophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
13504;Lepidium perfoliatum;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
13504;Lepidium perfoliatum;Therophyte;Therophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
13501;Lepidium latifolium;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
13498;Lepidium graminifolium;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
13495;Lepidium campestre;Therophyte;Therophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
13472;Thlaspi alliaceum;Therophyte;Therophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
13470;Teesdalia nudicaulis;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
13470;Teesdalia nudicaulis;Therophyte;Therophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
13468;Subularia aquatica;Hydrophyte;Cryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
13468;Subularia aquatica;Therophyte;Therophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
13454;Sinapis arvensis;Therophyte;Therophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
13444;Rorippa pyrenaica;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
13424;Alyssum alyssoides;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
13424;Alyssum alyssoides;Therophyte;Therophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
23226;Hypericum maculatum;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
16318;Agrostemma githago;Therophyte;Therophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
16298;Silene gallica;Therophyte;Therophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
26147;Orobanche rapum-genistae;Geophyte;Cryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
26147;Orobanche rapum-genistae;Vascular parasite;Vascular parasite;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
26120;Pinguicula alpina;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
28062;Polygala vulgaris;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
28062;Polygala vulgaris;Chamaephyte;Chamaephyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
28032;Frangula alnus;Phanerophyte;Phanerophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
27989;Rhamnus saxatilis;Phanerophyte;Phanerophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
27977;Reseda luteola;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
27974;Reseda lutea;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
27899;Plantago coronopus;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
27860;Plantago lanceolata;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
21399;Hedysarum hedysaroides;Geophyte;Cryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
21390;Genista tinctoria;Chamaephyte;Chamaephyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
21360;Lathyrus nissolia;Therophyte;Therophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
21355;Lathyrus pratensis;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
21355;Lathyrus pratensis;Liana;Liana;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
