The following table was created as response to the SQL query
SELECT sbs_sbsnumber "SBS number", m_methodname "general method", sbs_sbsname "SBS name", ld_category "leaf distribution ", ld_valid "valid", ref_refname "reference", or_origrefname "original reference" FROM (SELECT ld_m.ld_category, sbs.sbs_sbsnumber, ld_m.m_methodname, sbs.sbs_sbsname, ld_m.ld_valid, ld_m.ref_refname, ld_m.or_origrefname, ld_m.ld_sbsnumber FROM (SELECT speciesno AS sbs_sbsnumber, fullname AS sbs_sbsname FROM (SELECT fullname, speciesno, familyname, isinledalist from (select fullname, speciesno, family as familyid, isinledalist from taxon where specieslist = 60028) natural join taxonomicfamily)) sbs JOIN (SELECT r_ld.ld_sbsnumber, r_ld.ld_category, m.m_methodname, r_ld.ld_valid, r_ld.ref_refname, r_ld.or_origrefname FROM (SELECT ld_orf.ld_sbsnumber, ld_orf.ld_category, ld_orf.ld_methodid, ld_orf.ld_valid, r.ref_refname, ld_orf.or_origrefname FROM (SELECT referenceid AS ref_referenceid, refname AS ref_refname FROM (select referenceid, refname, reftypeid from reference)) r LEFT JOIN (SELECT ld.ld_sbsnumber, ld.ld_category, ld.ld_methodid, ld.ld_valid, ld.ld_referenceid, orf.or_origrefname FROM (SELECT sbsnumber AS ld_sbsnumber, leafdistributionname AS ld_category, methodid AS ld_methodid, valid AS ld_valid, referenceid AS ld_referenceid, origreferenceid AS ld_origreferenceid FROM (select leafdistributionid, sbsnumber, taxonid, georefid, habitattypeid, referenceid, origreferenceid, batchid, methodid, collectiondate, p_comment, leafdistributionnameid, created_when, updated_when, valid, validsince, validuntil, ledaid, leafdistributionname
from
(select leafdistributionid, sbsnumber, taxonid, georefid, habitattypeid, referenceid, origreferenceid, batchid, methodid, collectiondate, p_comment, leafdistributionnameid, created_when, updated_when, valid, validsince, validuntil, ledaid from leafdistribution natural join taxontosbsassignment)
natural join
leafdistributionname_lv WHERE valid IN (-2, 1))) ld FULL JOIN (SELECT origreferenceid AS or_origrefid, origrefname AS or_origrefname FROM (select referenceid as origreferenceid, refname as origrefname, reftypeid as origreftypeid from reference)) orf ON ld.ld_origreferenceid = orf.or_origrefid) ld_orf ON r.ref_referenceid = ld_orf.ld_referenceid) r_ld LEFT JOIN (SELECT methodid AS m_methodid, methodname AS m_methodname FROM (select * from method_lv)) m ON r_ld.ld_methodid = m.m_methodid) ld_m ON sbs.sbs_sbsnumber = ld_m.ld_sbsnumber)
on Mon Apr 26 11:03:40 CEST 2010 .

SBS number;general method;SBS name;leaf distribution ;valid;reference;original reference
32687;estimation;Populus x canadensis;leaves distributed regularly along the stem ;1;BIOLFLOR database;
32710;estimation;Populus alba;leaves distributed regularly along the stem ;1;BIOLFLOR database;
32731;estimation;Veronica paniculata;leaves distributed regularly along the stem ;1;BIOLFLOR database;
32737;estimation;Veronica prostrata;leaves distributed regularly along the stem ;1;BIOLFLOR database;
32740;estimation;Veronica serpyllifolia;leaves distributed regularly along the stem ;1;BIOLFLOR database;
32774;estimation;Veronica anagallis-aquatica;leaves distributed regularly along the stem ;1;BIOLFLOR database;
32788;estimation;Veronica bellidioides;semi-rosette ;1;BIOLFLOR database;
32792;estimation;Veronica chamaedrys;leaves distributed regularly along the stem ;1;BIOLFLOR database;
32798;estimation;Veronica fruticulosa;leaves distributed regularly along the stem ;1;BIOLFLOR database;
32803;estimation;Veronica longifolia;leaves distributed regularly along the stem ;1;BIOLFLOR database;
32834;estimation;Verbascum nigrum;semi-rosette ;1;BIOLFLOR database;
32841;estimation;Verbascum phlomoides;semi-rosette ;1;BIOLFLOR database;
32842;estimation;Verbascum phoeniceum;semi-rosette ;1;BIOLFLOR database;
32859;estimation;Verbascum thapsus;semi-rosette ;1;BIOLFLOR database;
32862;estimation;Scrophularia nodosa;leaves distributed regularly along the stem ;1;BIOLFLOR database;
32871;estimation;Verbascum blattaria;semi-rosette ;1;BIOLFLOR database;
32892;estimation;Rhinanthus minor;leaves distributed regularly along the stem ;1;BIOLFLOR database;
32910;estimation;Scrophularia canina;leaves distributed regularly along the stem ;1;BIOLFLOR database;
32910;estimation;Scrophularia canina;semi-rosette ;1;BIOLFLOR database;
32931;estimation;Rhinanthus alpinus;leaves distributed regularly along the stem ;1;BIOLFLOR database;
32992;estimation;Pedicularis sylvatica;semi-rosette ;1;BIOLFLOR database;
33000;estimation;Odontites lutea;leaves distributed regularly along the stem ;1;BIOLFLOR database;
33028;estimation;Melampyrum cristatum;leaves distributed regularly along the stem ;1;BIOLFLOR database;
33034;estimation;Melampyrum nemorosum;leaves distributed regularly along the stem ;1;BIOLFLOR database;
33044;estimation;Melampyrum sylvaticum;leaves distributed regularly along the stem ;1;BIOLFLOR database;
33054;estimation;Linaria genistifolia;leaves distributed regularly along the stem ;1;BIOLFLOR database;
33091;estimation;Linaria vulgaris;leaves distributed regularly along the stem ;1;BIOLFLOR database;
33100;estimation;Linaria arvensis;leaves distributed regularly along the stem ;1;BIOLFLOR database;
33117;estimation;Gratiola officinalis;leaves distributed regularly along the stem ;1;BIOLFLOR database;
33123;estimation;Kickxia elatine;leaves distributed regularly along the stem ;1;BIOLFLOR database;
33129;estimation;Kickxia spuria;leaves distributed regularly along the stem ;1;BIOLFLOR database;
33149;estimation;Euphrasia officinalis;leaves distributed regularly along the stem ;1;BIOLFLOR database;
33166;estimation;Euphrasia stricta;leaves distributed regularly along the stem ;1;BIOLFLOR database;
33169;estimation;Digitalis grandiflora;semi-rosette ;1;BIOLFLOR database;
33788;estimation;Euphrasia minima;leaves distributed regularly along the stem ;1;BIOLFLOR database;
33807;estimation;Veronica filiformis;leaves distributed regularly along the stem ;1;BIOLFLOR database;
33829;estimation;Veronica dillenii;leaves distributed regularly along the stem ;1;BIOLFLOR database;
33847;estimation;Linaria genistifolia s. dalmatica;leaves distributed regularly along the stem ;1;BIOLFLOR database;
33851;estimation;Verbascum densiflorum;semi-rosette ;1;BIOLFLOR database;
33863;estimation;Veronica beccabunga;leaves distributed regularly along the stem ;1;BIOLFLOR database;
33875;estimation;Veronica catenata;leaves distributed regularly along the stem ;1;BIOLFLOR database;
33881;estimation;Hieracium amplexicaule;semi-rosette ;1;BIOLFLOR database;
34032;estimation;Hieracium cottetii;semi-rosette ;1;BIOLFLOR database;
34076;estimation;Mimulus moschatus;leaves distributed regularly along the stem ;1;BIOLFLOR database;
34127;estimation;Veronica agrestis;leaves distributed regularly along the stem ;1;BIOLFLOR database;
34136;estimation;Mimulus guttatus;leaves distributed regularly along the stem ;1;BIOLFLOR database;
34141;estimation;Hieracium humile;semi-rosette ;1;BIOLFLOR database;
34175;estimation;Veronica fruticans;leaves distributed regularly along the stem ;1;BIOLFLOR database;
34182;estimation;Hieracium kerneri;semi-rosette ;1;BIOLFLOR database;
34184;estimation;Veronica anagalloides;leaves distributed regularly along the stem ;1;BIOLFLOR database;
34194;estimation;Veronica urticifolia;leaves distributed regularly along the stem ;1;BIOLFLOR database;
34203;estimation;Pedicularis verticillata;semi-rosette ;1;BIOLFLOR database;
34219;estimation;Misopates orontium;leaves distributed regularly along the stem ;1;BIOLFLOR database;
30497;estimation;Rubus phoenicolasius;leaves distributed regularly along the stem ;1;BIOLFLOR database;
30504;estimation;Rubus hypomalacus;leaves distributed regularly along the stem ;1;BIOLFLOR database;
30509;estimation;Rubus langei;leaves distributed regularly along the stem ;1;BIOLFLOR database;
30517;estimation;Rubus divaricatus;leaves distributed regularly along the stem ;1;BIOLFLOR database;
30518;estimation;Rubus epipsilos;leaves distributed regularly along the stem ;1;BIOLFLOR database;
30523;estimation;Rubus gelertii;leaves distributed regularly along the stem ;1;BIOLFLOR database;
30531;estimation;Rubus bavaricus;leaves distributed regularly along the stem ;1;BIOLFLOR database;
30532;estimation;Rubus bertramii;leaves distributed regularly along the stem ;1;BIOLFLOR database;
