The following table was created as response to the SQL query
SELECT sbs_sbsnumber "SBS number", m_methodname "general method", sbs_sbsname "SBS name", bra_typename "branching", bra_valid "valid", ref_refname "reference", or_origrefname "original reference" FROM (SELECT bra_m.bra_typename, sbs.sbs_sbsnumber, bra_m.m_methodname, sbs.sbs_sbsname, bra_m.bra_valid, bra_m.ref_refname, bra_m.or_origrefname, bra_m.bra_sbsnumber FROM (SELECT speciesno AS sbs_sbsnumber, fullname AS sbs_sbsname FROM (SELECT fullname, speciesno, familyname, isinledalist from (select fullname, speciesno, family as familyid, isinledalist from taxon where specieslist = 60028) natural join taxonomicfamily)) sbs JOIN (SELECT r_bra.bra_sbsnumber, r_bra.bra_typename, m.m_methodname, r_bra.bra_valid, r_bra.ref_refname, r_bra.or_origrefname FROM (SELECT bra_orf.bra_sbsnumber, bra_orf.bra_typename, bra_orf.bra_methodid, bra_orf.bra_valid, r.ref_refname, bra_orf.or_origrefname FROM (SELECT referenceid AS ref_referenceid, refname AS ref_refname FROM (select referenceid, refname, reftypeid from reference)) r LEFT JOIN (SELECT bra.bra_sbsnumber, bra.bra_typename, bra.bra_methodid, bra.bra_valid, bra.bra_referenceid, orf.or_origrefname FROM (SELECT sbsnumber AS bra_sbsnumber, branchingtypename AS bra_typename, methodid AS bra_methodid, valid AS bra_valid, referenceid AS bra_referenceid, origreferenceid AS bra_origreferenceid FROM (select sbsnumber, taxonid, georefid, habitattypeid, referenceid, origreferenceid, batchid, methodid, collectiondate, p_comment, branchingtypeid, created_when, updated_when, valid, validsince, validuntil, ledaid, case when branchingtypeid = 0 then 'unknown' when branchingtypeid = 1 then 'yes' when branchingtypeid = 2 then 'no' else NULL end as branchingtypename, branchingid
from branching natural join taxontosbsassignment WHERE valid IN (-2, 1))) bra FULL JOIN (SELECT origreferenceid AS or_origrefid, origrefname AS or_origrefname FROM (select referenceid as origreferenceid, refname as origrefname, reftypeid as origreftypeid from reference)) orf ON bra.bra_origreferenceid = orf.or_origrefid) bra_orf ON r.ref_referenceid = bra_orf.bra_referenceid) r_bra LEFT JOIN (SELECT methodid AS m_methodid, methodname AS m_methodname FROM (select * from method_lv)) m ON r_bra.bra_methodid = m.m_methodid) bra_m ON sbs.sbs_sbsnumber = bra_m.bra_sbsnumber)
on Mon Apr 26 11:00:36 CEST 2010 .

SBS number;general method;SBS name;branching;valid;reference;original reference
31078;derivation from photos or drawings;Rubus micans;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
31101;derivation from photos or drawings;Rubus cimbricus;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
31102;derivation from photos or drawings;Rubus conspicuus;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
31117;derivation from photos or drawings;Rubus ammobius;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
31119;derivation from photos or drawings;Rubus arduennensis;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
31124;derivation from photos or drawings;Rosa jundzillii;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
31125;derivation from photos or drawings;Rosa majalis;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
31128;derivation from photos or drawings;Rosa mollis;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
31137;derivation from photos or drawings;Rosa sherardii;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
31150;derivation from photos or drawings;Pyracantha coccinea;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
31153;derivation from photos or drawings;Pyrus pyraster;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
31158;derivation from photos or drawings;Rosa arvensis;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
31183;derivation from photos or drawings;Potentilla supina;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
31189;derivation from photos or drawings;Prunus avium;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
31198;derivation from photos or drawings;Potentilla anglica;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
31209;derivation from photos or drawings;Aruncus dioicus;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
31232;derivation from photos or drawings;Dryas octopetala;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
31243;derivation from photos or drawings;Alchemilla undulata;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
31270;derivation from photos or drawings;Alchemilla incisa;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
31278;derivation from photos or drawings;Alchemilla cymatophylla;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
